welfare_regime,generation,gender,n,mean,sd,se,tcrit,ci_low,ci_high
Conservative,Silent Generation,Female,730,5.1344559816438355,2.068149029940524,0.07654562977999686,1.9632234465207117,4.984179806531052,5.284732156756619
Conservative,Silent Generation,Male,727,5.220796105061898,2.1578206852933643,0.08002913937914151,1.9632369374638905,5.063679942559321,5.377912267564475
Conservative,Baby Boomers,Female,1744,4.949031873027523,2.3569637494749567,0.05643904581401286,1.961325941743476,4.838336508345251,5.059727237709795
Conservative,Baby Boomers,Male,1776,5.038525721306306,2.3643166311448938,0.056102750873544695,1.961301371684768,4.928491319062734,5.148560123549879
Conservative,Gen X,Female,1496,4.828625911243315,2.513969748808598,0.06499714050643983,1.9615520516526013,4.701130636931356,4.956121185555275
Conservative,Gen X,Male,1471,5.273457580985724,2.511197739528983,0.06547485953513608,1.9615790814656697,5.145023466159698,5.40189169581175
Conservative,Millennials,Female,1322,4.648336069334342,2.539130098078961,0.06983437102117554,1.9617614177978024,4.511337694628823,4.7853344440398615
Conservative,Millennials,Male,1286,5.0067365378615865,2.586158127776612,0.07211649176181484,1.9618118205524082,4.865257551866487,5.148215523856686
Conservative,Gen Z,Female,491,4.427902129368635,2.65137083921955,0.1196546909456667,1.9648171316625376,4.192802542714803,4.6630017160224675
Conservative,Gen Z,Male,564,5.1049115585461,2.7396396486289034,0.1153596396561417,1.9641865291611058,4.8783237083246265,5.331499408767573
Mediterranean,Silent Generation,Female,400,4.671046291,2.25347121355853,0.11267356067792651,1.9659272959208813,4.4495382625346664,4.892554319465333
Mediterranean,Silent Generation,Male,338,5.059367114644971,2.2769661571140745,0.123850631555972,1.9670282846691858,4.815749419300232,5.3029848099897094
Mediterranean,Baby Boomers,Female,1106,4.67477170818264,2.463921048710644,0.07408823080756295,1.9621131498088926,4.529402216269045,4.820141200096236
Mediterranean,Baby Boomers,Male,1030,5.081858713349514,2.5532757473881347,0.07955713000212603,1.9622720667543934,4.925745979435194,5.237971447263834
Mediterranean,Gen X,Female,1235,4.905597481902834,2.5807550667653127,0.0734367265431428,1.961888263458698,4.761522829991017,5.049672133814652
Mediterranean,Gen X,Male,1188,5.167559293855219,2.6414615835239132,0.0766365734594781,1.9619645328866173,5.0172010548057635,5.317917532904675
Mediterranean,Millennials,Female,950,4.688148383421052,2.6380883950129603,0.08559088970151497,1.9624668804852483,4.520179097110563,4.856117669731542
Mediterranean,Millennials,Male,891,5.05315200409652,2.7073286879674567,0.09069892365811338,1.9626330247715023,4.875143301213877,5.231160706979163
Mediterranean,Gen Z,Female,389,4.555055241131106,2.646344194843739,0.1341749768599975,1.9660968781378334,4.291254238002448,4.818856244259763
Mediterranean,Gen Z,Male,363,5.183424941046832,2.828927003405459,0.1484801606303585,1.9665388125099517,4.89143294227952,5.475416939814144
Post-Socialist,Silent Generation,Female,618,6.371050573430421,2.4794582716548117,0.09973843884205137,1.9638162576403284,6.175182605720734,6.566918541140107
Post-Socialist,Silent Generation,Male,447,6.457869617225951,2.4487975609493513,0.1158241501953806,1.9652971965789687,6.230240739550828,6.685498494901074
Post-Socialist,Baby Boomers,Female,2086,6.1989092378907,2.550344508754452,0.055839522808193674,1.9611024140531295,6.089402214911976,6.308416260869423
Post-Socialist,Baby Boomers,Male,1682,6.231685018026159,2.5863745272269125,0.06306355058242417,1.9613762101167194,6.1079936701883,6.355376365864018
Post-Socialist,Gen X,Female,1932,6.057441197401657,2.6828176841723326,0.061036215730479376,1.961193261387869,5.9377373824104245,6.177145012392889
Post-Socialist,Gen X,Male,1820,6.040161056934066,2.579376592335945,0.06046151989002933,1.9612690003064066,5.921579752262342,6.15874236160579
Post-Socialist,Millennials,Female,1523,5.741092242757715,2.769856884945701,0.07097532314674841,1.9615238576024565,5.601872453104324,5.880312032411107
Post-Socialist,Millennials,Male,1502,5.807783455672436,2.7084623317741556,0.06988562180386688,1.9615456985822417,5.670699614830316,5.944867296514556
Post-Socialist,Gen Z,Female,640,5.3528158248125,2.8839985001224493,0.11400005036120417,1.963683381334333,5.128955820446926,5.576675829178074
Post-Socialist,Gen Z,Male,587,5.847341158364565,2.8257075014282,0.11662943021618205,1.9640204610445018,5.618278571060022,6.076403745669109
Social Democratic,Silent Generation,Female,249,4.838963581646587,1.9862281611573644,0.12587209528000629,1.9695756536260947,4.591048967312182,5.086878195980991
Social Democratic,Silent Generation,Male,281,4.864215354519573,1.9899862341831651,0.11871262606832243,1.9684724997370187,4.630532814732517,5.09789789430663
Social Democratic,Baby Boomers,Female,579,4.722043033644214,2.338237107682819,0.09717381798156251,1.964076721744994,4.531186199783542,4.912899867504886
Social Democratic,Baby Boomers,Male,616,5.006495786558442,2.3116189743698623,0.0931377826812016,1.9638288096185341,4.823589125665108,5.1894024474517755
Social Democratic,Gen X,Female,526,4.758803389771863,2.3581702372870548,0.10282110852089078,1.9644928544487328,4.556812056796075,4.960794722747651
Social Democratic,Gen X,Male,520,5.060614435134616,2.4275177921642013,0.10645369733140535,1.964545331496788,4.851481321021631,5.2697475492476
Social Democratic,Millennials,Female,489,4.528547420143149,2.677650393000303,0.12108753637981524,1.9648370701650506,4.290630139929129,4.76646470035717
Social Democratic,Millennials,Male,538,5.042053477081785,2.5842997135775136,0.11141707211356076,1.9643914261662323,4.823186735893361,5.260920218270209
Social Democratic,Gen Z,Female,203,4.4024442401970445,2.7029086451371556,0.1897069965802874,1.971777384669988,4.028384274626367,4.776504205767722
Social Democratic,Gen Z,Male,202,5.0243058512376235,2.4806875296742814,0.17454056551218775,1.9718365067798576,4.68014039224669,5.368471310228557
